Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,5,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,401,100,97,20,0.8003992015968064,0.9524940617577197,0.711962091708164,0.4987631290806602,
BOOKKEEPER,6,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,412,0,0,244,1.0,0.6280487804878049,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,OVERSAMPLING,NO,NO,131,30,124,17,0.8136645962732919,0.8851351351351351,0.9283081783081784,0.6891507161315754,
BOOKKEEPER,2,RANDOM FOREST,OVERSAMPLING,NO,NO,171,18,174,101,0.9047619047619048,0.6286764705882353,0.8711799172794118,0.5029526141437418,
BOOKKEEPER,3,RANDOM FOREST,OVERSAMPLING,NO,NO,398,33,164,23,0.9234338747099768,0.9453681710213777,0.9553335664419982,0.7885036117188359,
BOOKKEEPER,4,RANDOM FOREST,OVERSAMPLING,NO,NO,382,4,117,87,0.9896373056994818,0.814498933901919,0.8837424448007895,0.6229158180107035,
BOOKKEEPER,5,RANDOM FOREST,OVERSAMPLING,NO,NO,351,62,135,70,0.8498789346246973,0.833729216152019,0.7916490830389332,0.5134612861283743,
BOOKKEEPER,6,RANDOM FOREST,OVERSAMPLING,NO,NO,421,0,0,235,1.0,0.6417682926829268,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,OVERSAMPLING,NO,NO,2,4,150,146,0.3333333333333333,0.013513513513513514,0.8159661284661285,-0.01269784494321728,
BOOKKEEPER,2,NAIVE BAYES,OVERSAMPLING,NO,NO,91,12,180,181,0.883495145631068,0.33455882352941174,0.7754289215686274,0.24087888240878882,
BOOKKEEPER,3,NAIVE BAYES,OVERSAMPLING,NO,NO,10,6,191,411,0.625,0.023752969121140142,0.875067822564115,-0.0043336944745395066,
BOOKKEEPER,4,NAIVE BAYES,OVERSAMPLING,NO,NO,386,37,84,83,0.9125295508274232,0.8230277185501066,0.8636363636363636,0.4533071826787947,
BOOKKEEPER,5,NAIVE BAYES,OVERSAMPLING,NO,NO,393,96,101,28,0.803680981595092,0.9334916864608076,0.7896535924858628,0.4912972477795038,
BOOKKEEPER,6,NAIVE BAYES,OVERSAMPLING,NO,NO,353,0,0,303,1.0,0.538109756097561,NaN,0.0,
BOOKKEEPER,1,IBK,OVERSAMPLING,NO,NO,129,33,121,19,0.7962962962962963,0.8716216216216216,0.8068620568620568,0.656126828413769,
BOOKKEEPER,2,IBK,OVERSAMPLING,NO,NO,142,20,172,130,0.8765432098765432,0.5220588235294118,0.7314548866421569,0.3854196100593387,
BOOKKEEPER,3,IBK,OVERSAMPLING,NO,NO,412,100,97,9,0.8046875,0.9786223277909739,0.6970170129134162,0.5369991064677986,
BOOKKEEPER,4,IBK,OVERSAMPLING,NO,NO,383,20,101,86,0.9503722084367245,0.8166311300639659,0.8128248955928739,0.5417173508419678,
BOOKKEEPER,5,IBK,OVERSAMPLING,NO,NO,402,98,99,19,0.804,0.9548693586698337,0.7220239458866369,0.5120328253856846,
BOOKKEEPER,6,IBK,OVERSAMPLING,NO,NO,456,0,0,200,1.0,0.6951219512195121,NaN,0.0,
